County,Cases,Deaths
Adams,20,0
Asotin,0,0
Benton,133,4
Chelan,18,2
Clallam,7,0
Clark,112,7
Columbia,1,0
Cowlitz,16,0
Douglas,6,0
Ferry,1,0
Franklin,43,0
Garfield,0,0
Grant,68,1
Grays Harbor,2,0
Island,114,3
Jefferson,19,0
King,2609,175
Kitsap,85,0
Kittitas,9,0
Klickitat,8,1
Lewis,12,0
Lincoln,1,0
Mason,10,0
Okanogan,4,0
Pacific,0,0
Pend Oreille,0,0
Pierce,368,7
San Juan,5,0
Skagit,148,4
Skamania,1,0
Snohomish,1266,38
Spokane,167,5
Stevens,5,0
Thurston,49,0
Wahkiakum,0,0
Walla Walla,8,0
Whatcom,124,8
Whitman,10,0
Yakima,216,6
Unassigned,920,1
Total,6585,262
